sid,search,"splunk_server","_time","is_realtime",provenance,"api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search3_1707210418.74","| `dmc_get_instance_info(""*"")`
        | search search_group=""*""","GOEL-DS-LM-MC","1707210418.152192",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210418,1,search3,0,canceled,"0.10400000000000001",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search9_1707210418.75","search `dmc_set_index_introspection` host=$row.host$ sourcetype=splunk_resource_usage component=PerProcess data.search_props.sid::*
        | `dmc_rename_introspection_fields`
        | `dmc_set_bin`
        | stats latest(normalized_pct_cpu) AS resource_usage_dedup by _time, type, sid, pid
        | stats sum(resource_usage_dedup) AS sum_resource_usage by _time,  type
        | eval sum_resource_usage = round(sum_resource_usage / 100.0, 2)
        | `dmc_timechart` Median(sum_resource_usage) AS ""Median of resource usage"" by type","GOEL-DS-LM-MC","1707210418.391856",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210418,0,search9,0,canceled,"1.1300000000000001","1707195960.000000000","1707210418.000000000","1707195960.000000000","1707210418.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57f832cab3cc3832f_1707210418.76","search `dmc_set_index_introspection` host=$row.host$ sourcetype=splunk_resource_usage component=PerProcess
      | `dmc_rename_introspection_fields`
      | `dmc_classify_processes`
      | `dmc_resource_usage_by_processes_timechart(normalized_pct_cpu, Median)`","GOEL-DS-LM-MC","1707210418.395348",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210418,0,"cpu_by_process_class",0,canceled,"1.188","1707195960.000000000","1707210418.000000000","1707195960.000000000","1707210418.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search10_1707210418.77","| mstats Median(""spl.intr.resource_usage.Hostwide.data.cpu_system_pct_mrollup_avg_86400s"")  Median(""spl.intr.resource_usage.Hostwide.data.cpu_user_pct_mrollup_avg_86400s"") prestats=true WHERE ""index""=""_metrics_rollup"" by extracted_host span=1h
          | rename extracted_host as host
          | where host=""$row.host$""
          | timechart eval(Median('spl.intr.resource_usage.Hostwide.data.cpu_user_pct_mrollup_avg_86400s') + Median('spl.intr.resource_usage.Hostwide.data.cpu_system_pct_mrollup_avg_86400s')) by host
          | fields - _span","GOEL-DS-LM-MC","1707210418.567062",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210418,0,search10,0,canceled,"0.712","1704585600.000000000","1707210418.000000000","1704585600.000000000","1707210418.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5a10707a3508f5283_1707210420.78","| rest splunk_server=ip-10-0-3-7 /services/server/status/resource-usage/hostwide
      | join type=outer splunk_server [
          | `dmc_get_instance_roles` 
          | fields role serverName
          | rename serverName as splunk_server]
      | eventstats min(eval(if(isnull(normalized_load_avg_1min), ""0"", ""1""))) as _load_avg_full_availability
      | eval normalized_load_avg_1min = if(isnull(normalized_load_avg_1min), ""N/A"", normalized_load_avg_1min)
      | eval core_info = if(isnull(cpu_count), ""N/A"", cpu_count)."" / "".if(isnull(virtual_cpu_count), ""N/A"", virtual_cpu_count)
      | eval cpu_usage = 'cpu_system_pct' + 'cpu_user_pct'
      | fields splunk_server, role, normalized_load_avg_1min, core_info, cpu_usage, cpu_count, virtual_cpu_count, cpu_system_pct, cpu_user_pct
      | eval role = replace(role, "" $"", """")
      | eval role = split(role, "" "")","GOEL-DS-LM-MC","1707210420.102910",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210420,0,"instance_cpu_usage",0,completed,"0.114","1707196020.000000000","1707210420.000000000","1707196020.000000000","1707210420.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD50972d7af82c3253d_1707210420.79","| rest splunk_server=ip-10-0-3-7 /services/server/status/resource-usage/splunk-processes
      | fields normalized_pct_cpu pct_cpu process process_type search_props.mode search_props.type search_props.provenance splunk_server
      | fillnull normalized_pct_cpu pct_cpu
      | eval process_type_l2 = if(match(process_type, ""^search$""), 'process_type'."":"".'search_props.type', 'process_type')
      | stats sum(normalized_pct_cpu) AS normalized_pct_cpu by process_type_l2, splunk_server
      | chart avg(normalized_pct_cpu) AS normalized_pct_cpu over splunk_server by process_type_l2
      | foreach * [eval <<FIELD>> = if(isnum('<<FIELD>>'), round('<<FIELD>>', 2), '<<FIELD>>')]","GOEL-DS-LM-MC","1707210420.118172",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210420,0,"system_cpu_usage",0,completed,"0.058",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search9_1707210420.80","search `dmc_set_index_introspection` host=ip-10-0-3-7 sourcetype=splunk_resource_usage component=PerProcess data.search_props.sid::*
        | `dmc_rename_introspection_fields`
        | `dmc_set_bin`
        | stats latest(normalized_pct_cpu) AS resource_usage_dedup by _time, type, sid, pid
        | stats sum(resource_usage_dedup) AS sum_resource_usage by _time,  type
        | eval sum_resource_usage = round(sum_resource_usage / 100.0, 2)
        | `dmc_timechart` Median(sum_resource_usage) AS ""Median of resource usage"" by type","GOEL-DS-LM-MC","1707210420.157111",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210420,0,search9,1,completed,"0.335","1707196020.000000000","1707210420.000000000","1707196020.000000000","1707210420.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search10_1707210420.81","| mstats Median(""spl.intr.resource_usage.Hostwide.data.cpu_system_pct_mrollup_avg_86400s"")  Median(""spl.intr.resource_usage.Hostwide.data.cpu_user_pct_mrollup_avg_86400s"") prestats=true WHERE ""index""=""_metrics_rollup"" by extracted_host span=1h
          | rename extracted_host as host
          | where host=""ip-10-0-3-7""
          | timechart eval(Median('spl.intr.resource_usage.Hostwide.data.cpu_user_pct_mrollup_avg_86400s') + Median('spl.intr.resource_usage.Hostwide.data.cpu_system_pct_mrollup_avg_86400s')) by host
          | fields - _span","GOEL-DS-LM-MC","1707210420.245652",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210420,0,search10,0,completed,"0.20800000000000002","1704585600.000000000","1707210420.000000000","1704585600.000000000","1707210420.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57f832cab3cc3832f_1707210420.82","search `dmc_set_index_introspection` host=ip-10-0-3-7 sourcetype=splunk_resource_usage component=PerProcess
      | `dmc_rename_introspection_fields`
      | `dmc_classify_processes`
      | `dmc_resource_usage_by_processes_timechart(normalized_pct_cpu, Median)`","GOEL-DS-LM-MC","1707210420.368684",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,5307,1707210420,49,"cpu_by_process_class",5308,completed,"0.322","1707196020.000000000","1707210420.000000000","1707196020.000000000","1707210420.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search2_1707210425.83","| `dmc_get_groups_containing_role(dmc_group_indexer)`
          | search search_group!=""dmc_group_*""","GOEL-DS-LM-MC","1707210425.144480",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210425,0,search2,0,completed,"0.04",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search3_1707210425.84","| `dmc_get_instance_info(""*"")`
        | search search_group=""dmc_group_indexer""","GOEL-DS-LM-MC","1707210425.161360",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210425,1,search3,0,completed,"0.031",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search1_1707210480.85","| `dmc_get_machine_info`","GOEL-DS-LM-MC","1707210480.447054",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210480,1,search1,0,completed,"0.051000000000000004",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD579940d04c047fa7c_1707210481.86","search `dmc_set_index_introspection` sourcetype=splunk_resource_usage component=IOStats host=$row.host$
          | eval mount_point = 'data.mount_point'
          | eval reads_ps = 'data.reads_ps'
          | eval writes_ps = 'data.writes_ps'
          | eval interval = 'data.interval'
          | eval op_count = (reads_ps + writes_ps) * interval
          | eval avg_service_ms = 'data.avg_service_ms'
          | eval avg_wait_ms = 'data.avg_total_ms'
          | eval cpu_pct = 'data.cpu_pct'
          | eval network_pct = 'data.network_pct'","GOEL-DS-LM-MC","1707210481.796597",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210481,0,"io_log_base_search",0,canceled,"0.706","1707196080.000000000","1707210481.000000000","1707196080.000000000","1707210481.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search2_1707210481.87","| inputlookup dmc_assets
| search serverName = $row.serverName$
| stats first(serverName) as serverName, first(host) as host, first(machine) as machine
| join type=outer serverName [
  | rest splunk_server=$row.serverName$ /services/server/info
  | fields serverName, numberOfCores, numberOfVirtualCores, physicalMemoryMB, os_name, cpu_arch
]
| `dmc_get_core_info`
| fields machine core_info physicalMemoryMB os_name cpu_arch
| rename machine as Machine, core_info AS ""CPU Cores (Physical / Virtual)"", physicalMemoryMB AS ""Physical Memory Capacity (MB)"", cpu_arch AS ""CPU Architecture"", os_name AS ""Operating System""","GOEL-DS-LM-MC","1707210481.811272",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210481,0,search2,0,canceled,"0.378","1707196080.000000000","1707210481.000000000","1707196080.000000000","1707210481.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__global_1707210481.89","| rest splunk_server=$row.serverName$ /services/server/info 
| fields numberOfCores, numberOfVirtualCores, physicalMemoryMB
| eval capacity=[rest splunk_server=$row.serverName$ /services/server/status/partitions-space | return $capacity]","GOEL-DS-LM-MC","1707210481.821649",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210482,0,global,0,canceled,"0.01",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search13_1707210481.90","| rest splunk_server=$row.serverName$ /services/server/status/partitions-space
          | stats count by mount_point","GOEL-DS-LM-MC","1707210481.991057",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210482,0,search13,0,canceled,"0.248",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search9_1707210482.91","search `dmc_set_index_introspection` host=$row.host$ sourcetype=splunk_resource_usage component=Hostwide
| `dmc_timechart` Median(data.normalized_load_avg_1min) AS ""load average""","GOEL-DS-LM-MC","1707210482.056991",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210482,0,search9,0,canceled,"0.633","1707196080.000000000","1707210482.000000000","1707196080.000000000","1707210482.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search10_1707210482.92","search `dmc_set_index_introspection` host=$row.host$ sourcetype=splunk_resource_usage component=Hostwide
| `dmc_timechart` Median(data.cpu_system_pct) AS ""system"" Median(data.cpu_user_pct) AS ""user""","GOEL-DS-LM-MC","1707210482.067358",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210482,0,search10,0,canceled,"0.552","1707196080.000000000","1707210482.000000000","1707196080.000000000","1707210482.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search11_1707210482.93","search `dmc_set_index_introspection` host=$row.host$ sourcetype=splunk_resource_usage component=Hostwide
| `dmc_timechart` latest(data.mem) AS ""capacity"" Median(data.mem_used) AS ""usage""","GOEL-DS-LM-MC","1707210482.071128",0,"UI:Dashboard:resource_usage_machine",0,0,0,1707210482,0,search11,0,canceled,"0.544","1707196080.000000000","1707210482.000000000","1707196080.000000000","1707210482.000000000",,,,,,,,,,,,,,,,,,,
