02-06-2024 19:17:00.487 INFO  dispatchRunner [7980 MainThread] - Search process mode: preforked (first search in process) (build b985591d12fd).
02-06-2024 19:17:00.504 INFO  LMLicense [7980 MainThread] - Applying default CLE policy for enterprise
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - created stack='enterprise'
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - Added policy WinSz=60 Warnings=45 MaxSize=107374182400 isDefault=1 features=LocalSearch for enterprise
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - Skipping trial license as alternative license type in use
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - Skipping trial pool stanza as alternative license in use
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - added pool auto_generated_pool_enterprise to stack enterprise
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - added pool auto_generated_pool_forwarder to stack forwarder
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - added pool auto_generated_pool_free to stack free
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - Initialized hideQuotaWarning = "0"
02-06-2024 19:17:00.504 INFO  LMStackMgr [7980 MainThread] - init completed [567E8353-EE88-4727-B620-DAEF32CFEF2B,Enterprise,runContext_splunkd=false]
02-06-2024 19:17:00.504 INFO  LicenseMgr [7980 MainThread] - StackMgr init complete...
02-06-2024 19:17:00.504 INFO  LMTracker [7980 MainThread] - Setting default product type='enterprise'
02-06-2024 19:17:00.504 INFO  LMTracker [7980 MainThread] - this is not splunkd, will perform partial init
02-06-2024 19:17:00.504 INFO  LicenseMgr [7980 MainThread] - Tracker init complete...
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'licenses'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'pools'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'stacks'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'groups'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'slaves'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'peers'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'localslave'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'localpeer'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'licensermessages'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'scriptedwarning'
02-06-2024 19:17:00.547 INFO  AdminManagerDispatch [7980 MainThread] - added factory for admin handler: 'licenseusage'
02-06-2024 19:17:00.547 INFO  LicenseMgr [7980 MainThread] - Initing LicenseMgr
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - serverName=GOEL-DS-LM-MC guid=567E8353-EE88-4727-B620-DAEF32CFEF2B
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - connection_timeout=30
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - send_timeout=30
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - receive_timeout=30
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - squash_threshold=2000
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - strict_pool_quota=1
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
02-06-2024 19:17:00.547 INFO  LMConfig [7980 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
02-06-2024 19:17:00.564 INFO  dispatchRunner [7980 MainThread] - registering build time modules, count=1
02-06-2024 19:17:00.564 INFO  dispatchRunner [7980 MainThread] - registering search time components of build time module name=vix
02-06-2024 19:17:00.564 INFO  dispatchRunner [7980 MainThread] - Getting search configuration data from: /opt/splunk/etc/modules/parsing/config.xml
02-06-2024 19:17:00.565 WARN  SSLOptions [7980 MainThread] - server.conf/[kvstore]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
02-06-2024 19:17:00.570 INFO  BundlesSetup [7980 MainThread] - Setup stats for /opt/splunk/etc: wallclock_elapsed_msec=42, cpu_time_used=0.0133794, shared_services_generation=2, shared_services_population=1
02-06-2024 19:17:00.646 INFO  UserManagerPro [7980 MainThread] - Load authentication: forcing roles="admin, power, splunk-system-role, user"
02-06-2024 19:17:00.646 INFO  PipelineComponent [7980 MainThread] - Ingestion pipeline sets have been configured to use pipeline set policy=round_robin for multiple pipeline sets.
02-06-2024 19:17:00.666 INFO  UserManager [12826 RunDispatch] - Setting user context: splunk-system-user
02-06-2024 19:17:00.666 INFO  UserManager [12826 RunDispatch] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.667 INFO  dispatchRunner [12826 RunDispatch] - search context: user="splunk-system-user", app="splunk_archiver", bs-pathname="/opt/splunk/etc"
02-06-2024 19:17:00.689 INFO  SearchParser [12826 RunDispatch] - PARSING: | archivebuckets
02-06-2024 19:17:00.704 INFO  dispatchRunner [12826 RunDispatch] - Search running in non-clustered mode
02-06-2024 19:17:00.704 INFO  dispatchRunner [12826 RunDispatch] - SearchHeadInitSearchMs=37
02-06-2024 19:17:00.704 INFO  dispatchRunner [12826 RunDispatch] - Executing the Search orchestrator and iterator model (dfs=false).
02-06-2024 19:17:00.704 INFO  SearchOrchestrator [12826 RunDispatch] - SearchOrchestrator getting constructed
02-06-2024 19:17:00.704 INFO  SearchOrchestrator [12826 RunDispatch] -  Initialized the SRI
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Initializing feature flags from config. feature_seed=2662482496
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=parallelreduce:enablePreview:true
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=search:search_retry:false
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=search:search_retry_realtime:false
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=parallelreduce:autoAppliedPercentage:false
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=subsearch:enableConcurrentPipelineProcessing:false
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=stats:allow_stats_v2:true
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=search_optimization::set_required_fields:stats:false
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=searchresults:srs2:false
02-06-2024 19:17:00.706 INFO  SearchFeatureFlags [12826 RunDispatch] - Setting feature_flag=search:read_final_results_from_timeliner:true
02-06-2024 19:17:00.706 INFO  SearchOrchestrator [12826 RunDispatch] - Search feature_flags={"v":1,"enabledFeatures":["parallelreduce:enablePreview","stats:allow_stats_v2","search:read_final_results_from_timeliner"],"disabledFeatures":["search:search_retry","search:search_retry_realtime","parallelreduce:autoAppliedPercentage","subsearch:enableConcurrentPipelineProcessing","search_optimization::set_required_fields:stats","searchresults:srs2"]}
02-06-2024 19:17:00.706 INFO  ISplunkDispatch [12826 RunDispatch] - Not running in splunkd. Bundle replication not triggered.
02-06-2024 19:17:00.732 INFO  SearchOrchestrator [12834 searchOrchestrator] - Initialzing the run time settings for the orchestrator.
02-06-2024 19:17:00.732 INFO  UserManager [12834 searchOrchestrator] - Setting user context: splunk-system-user
02-06-2024 19:17:00.732 INFO  UserManager [12834 searchOrchestrator] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.733 INFO  AdaptiveSearchEngineSelector [12834 searchOrchestrator] - Search execution_plan=classic
02-06-2024 19:17:00.733 INFO  SearchOrchestrator [12834 searchOrchestrator] - Creating the search DAG.
02-06-2024 19:17:00.733 INFO  SearchParser [12834 searchOrchestrator] - PARSING: | archivebuckets
02-06-2024 19:17:00.733 INFO  DispatchStorageManagerInfo [12834 searchOrchestrator] - Successfully created new dispatch directory for search job. sid=00205ebca31f65ef_tmp dispatch_dir=/opt/splunk/var/run/splunk/dispatch/00205ebca31f65ef_tmp
02-06-2024 19:17:00.738 INFO  script [12834 searchOrchestrator] - found script file=/opt/splunk/etc/apps/splunk_archiver/bin/archivebuckets.py
02-06-2024 19:17:00.738 INFO  script [12834 searchOrchestrator] - stderr for script archivebuckets will be added to search.log
02-06-2024 19:17:00.738 INFO  DispatchThread [12834 searchOrchestrator] - BatchMode: allowBatchMode: 0, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):1, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):1
02-06-2024 19:17:00.739 INFO  DispatchThread [12834 searchOrchestrator] - Setup timeliner partialCommits=0
02-06-2024 19:17:00.739 INFO  DispatchThread [12834 searchOrchestrator] - Disabling usage of summaries for non-reporting search
02-06-2024 19:17:00.739 INFO  DispatchThread [12834 searchOrchestrator] - required fields list to add to remote search = *,_bkt,_cd,_si,host,index,linecount,source,sourcetype,splunk_server
02-06-2024 19:17:00.739 INFO  DispatchCommandProcessor [12834 searchOrchestrator] - summaryHash=NS3d9d854163f8f07a summaryId=567E8353-EE88-4727-B620-DAEF32CFEF2B_splunk_archiver_nobody_NS3d9d854163f8f07a remoteSearch=
02-06-2024 19:17:00.742 INFO  SearchParser [12834 searchOrchestrator] - PARSING: | archivebuckets
02-06-2024 19:17:00.742 INFO  script [12834 searchOrchestrator] - found script file=/opt/splunk/etc/apps/splunk_archiver/bin/archivebuckets.py
02-06-2024 19:17:00.742 INFO  script [12834 searchOrchestrator] - stderr for script archivebuckets will be added to search.log
02-06-2024 19:17:00.742 INFO  AstOptimizer [12834 searchOrchestrator] - SrchOptMetrics optimize_toJson=0.000141351
02-06-2024 19:17:00.742 INFO  SearchParser [12834 searchOrchestrator] - PARSING: | archivebuckets
02-06-2024 19:17:00.743 INFO  FederatedInfo [12834 searchOrchestrator] - No federated search providers defined.
02-06-2024 19:17:00.743 INFO  ProjElim [12834 searchOrchestrator] - Black listed processors=[addinfo]
02-06-2024 19:17:00.787 INFO  AstOptimizer [12834 searchOrchestrator] - SrchOptMetrics optimization=0.044994945
02-06-2024 19:17:00.787 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - Optimized Search =| archivebuckets
02-06-2024 19:17:00.787 INFO  ScopedTimer [12834 searchOrchestrator] - search.optimize 0.045409746
02-06-2024 19:17:00.787 INFO  FederatedProviderVisitor [12834 searchOrchestrator] - Federated Whole Search Remote Execution Enabled: false
02-06-2024 19:17:00.946 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - Number of involved federated deployments is 0.
02-06-2024 19:17:00.946 INFO  PhaseNodeGenerationVisitor [12834 searchOrchestrator] - FallBackReason: Fallback to 2-phase mode because of empty split key of cmd: archivebuckets
02-06-2024 19:17:00.946 INFO  PhaseToPipelineVisitor [12834 searchOrchestrator] - Phase Search = | archivebuckets
02-06-2024 19:17:00.946 INFO  SearchParser [12834 searchOrchestrator] - PARSING: | archivebuckets
02-06-2024 19:17:00.947 INFO  script [12834 searchOrchestrator] - found script file=/opt/splunk/etc/apps/splunk_archiver/bin/archivebuckets.py
02-06-2024 19:17:00.947 INFO  script [12834 searchOrchestrator] - stderr for script archivebuckets will be added to search.log
02-06-2024 19:17:00.947 INFO  SearchPipeline [12834 searchOrchestrator] - ReportSearch=0 AllowBatchMode=0
02-06-2024 19:17:00.947 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - No need for RTWindowProcessor
02-06-2024 19:17:00.947 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - Adding timeliner to final phase
02-06-2024 19:17:00.947 INFO  SearchParser [12834 searchOrchestrator] - PARSING: | timeliner remote=0 partial_commits=0 max_events_per_bucket=500000 fieldstats_update_maxperiod=60 bucket=0
02-06-2024 19:17:00.954 INFO  TimelineCreator [12834 searchOrchestrator] - Creating timeline with remote=0 partialCommits=0 commitFreq=0 syncKSFreq=0 maxSyncKSPeriodTime=60000 bucket=0 latestTime=1707247020.000000 earliestTime=2147483647.000000
02-06-2024 19:17:00.954 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - required fields list to add to different pipelines = *,_bkt,_cd,_si,host,index,linecount,source,sourcetype,splunk_server
02-06-2024 19:17:00.954 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - Search Phases created.
02-06-2024 19:17:00.958 INFO  SearchOrchestrator [12834 searchOrchestrator] - Preview is not enabled. (preview_algorithm=NONE)
02-06-2024 19:17:00.958 INFO  UserManager [12834 searchOrchestrator] - Setting user context: splunk-system-user
02-06-2024 19:17:00.958 INFO  UserManager [12834 searchOrchestrator] - Done setting user context: splunk-system-user -> splunk-system-user
02-06-2024 19:17:00.958 INFO  UserManager [12834 searchOrchestrator] - Unwound user context: splunk-system-user -> splunk-system-user
02-06-2024 19:17:00.958 INFO  DistributedSearchResultCollectionManager [12834 searchOrchestrator] - Stream search: 
02-06-2024 19:17:00.962 INFO  UserManager [12845 SearchResultExecutorThread] - Setting user context: splunk-system-user
02-06-2024 19:17:00.962 INFO  UserManager [12845 SearchResultExecutorThread] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.962 INFO  UserManager [12845 SearchResultExecutorThread] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:00.962 INFO  UserManager [12846 SearchResultExecutorThread] - Setting user context: splunk-system-user
02-06-2024 19:17:00.962 INFO  UserManager [12846 SearchResultExecutorThread] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.962 INFO  UserManager [12846 SearchResultExecutorThread] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:00.962 INFO  UserManager [12843 SearchResultExecutorThread] - Setting user context: splunk-system-user
02-06-2024 19:17:00.963 INFO  UserManager [12843 SearchResultExecutorThread] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.963 INFO  UserManager [12843 SearchResultExecutorThread] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:00.964 INFO  UserManager [12844 SearchResultExecutorThread] - Setting user context: splunk-system-user
02-06-2024 19:17:00.964 INFO  UserManager [12844 SearchResultExecutorThread] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.964 INFO  UserManager [12844 SearchResultExecutorThread] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:00.966 INFO  UserManager [12842 SearchResultExecutorThread] - Setting user context: splunk-system-user
02-06-2024 19:17:00.966 INFO  UserManager [12842 SearchResultExecutorThread] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.966 INFO  UserManager [12842 SearchResultExecutorThread] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:00.966 INFO  SearchPhaseGenerator [12834 searchOrchestrator] - Time spends on creating distributed search results infrastructure; dispatchcreatedSearchResultInfrastructure=0.007908766 seconds.
02-06-2024 19:17:00.966 INFO  SearchOrchestrator [12834 searchOrchestrator] - Starting the status control thread.
02-06-2024 19:17:00.966 INFO  SearchOrchestrator [12834 searchOrchestrator] - Starting phase=1
02-06-2024 19:17:00.966 INFO  UserManager [12840 StatusEnforcerThread] - Setting user context: splunk-system-user
02-06-2024 19:17:00.966 INFO  UserManager [12840 StatusEnforcerThread] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.966 INFO  SearchStatusEnforcer [12840 StatusEnforcerThread] - Enforcing disk quota = 10485760000
02-06-2024 19:17:00.978 INFO  UserManager [12848 phase_1] - Setting user context: splunk-system-user
02-06-2024 19:17:00.978 INFO  UserManager [12848 phase_1] - Done setting user context: NULL -> splunk-system-user
02-06-2024 19:17:00.978 INFO  ReducePhaseExecutor [12848 phase_1] - Starting phase_1
02-06-2024 19:17:02.760 INFO  ReducePhaseExecutor [12848 phase_1] - Ending phase_1
02-06-2024 19:17:02.760 INFO  UserManager [12848 phase_1] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:02.763 INFO  ProxyConfig [12840 StatusEnforcerThread] - Failed to initialize http_proxy from server.conf for splunkd. Please make sure that the http_proxy property is set as http_proxy=http://host:port in case HTTP proxying needs to be enabled.
02-06-2024 19:17:02.763 INFO  ProxyConfig [12840 StatusEnforcerThread] - Failed to initialize https_proxy from server.conf for splunkd. Please make sure that the https_proxy property is set as https_proxy=http://host:port in case HTTP proxying needs to be enabled.
02-06-2024 19:17:02.763 INFO  ProxyConfig [12840 StatusEnforcerThread] - Failed to initialize the proxy_rules setting from server.conf for splunkd. Please provide a valid set of proxy_rules in case HTTP proxying needs to be enabled.
02-06-2024 19:17:02.763 INFO  ProxyConfig [12840 StatusEnforcerThread] - Failed to initialize the no_proxy setting from server.conf for splunkd. Please provide a valid set of no_proxy rules in case HTTP proxying needs to be enabled.
02-06-2024 19:17:02.764 WARN  SSLOptions [12840 StatusEnforcerThread] - <internal>.conf/[<internal>]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
02-06-2024 19:17:02.767 WARN  SSLOptions [12840 StatusEnforcerThread] - <internal>.conf/[<internal>]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
02-06-2024 19:17:02.772 INFO  SearchStatusEnforcer [12840 StatusEnforcerThread] - Triggered listener notification on state=onResults condition=1
02-06-2024 19:17:02.772 INFO  UserManager [12840 StatusEnforcerThread] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:02.775 INFO  DispatchStorageManager [12834 searchOrchestrator] - Remote storage disabled for search artifacts.
02-06-2024 19:17:02.775 INFO  DispatchManager [12834 searchOrchestrator] - DispatchManager::dispatchHasFinished(id='scheduler__nobody_c3BsdW5rX2FyY2hpdmVy__RMD5473cbac83d6c9db7_at_1707247020_4', username='splunk-system-user')
02-06-2024 19:17:02.775 INFO  UserManager [12834 searchOrchestrator] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:02.775 INFO  SearchStatusEnforcer [12826 RunDispatch] - SearchStatusEnforcer is already terminated
02-06-2024 19:17:02.775 INFO  UserManager [12826 RunDispatch] - Unwound user context: splunk-system-user -> NULL
02-06-2024 19:17:02.775 INFO  LookupDataProvider [12826 RunDispatch] - Clearing out lookup shared provider map
02-06-2024 19:17:02.777 INFO  dispatchRunner [7980 MainThread] - RunDispatch is done: sid=scheduler__nobody_c3BsdW5rX2FyY2hpdmVy__RMD5473cbac83d6c9db7_at_1707247020_4, exit=0
